DISTRICT;SECTOR;BEAT;BEAT_NUM
17;1;1;1713
31;;0;3100
16;5;5;1651
19;1;1;1914
19;1;1;1915
19;1;1;1913
7;3;3;735
19;1;1;1912
17;2;2;1723
19;1;1;1911
17;2;2;1722
19;2;2;1923
17;2;2;1724
20;2;2;2024
16;2;2;1624
16;5;5;1655
16;3;3;1632
19;;2;1925
19;2;2;1922
17;3;3;1732
19;;2;1921
16;5;5;1653
17;3;3;1733
16;5;5;1652
17;3;3;1731
16;;3;1634
16;3;3;1633
19;2;2;1924
16;3;3;1631
19;3;3;1934
19;3;3;1933
24;2;2;2422
24;2;2;2424
16;1;1;1611
24;1;1;2411
20;;3;2033
24;2;2;2423
16;2;2;1621
24;3;3;2431
16;5;5;1654
24;3;3;2432
20;;2;2022
16;2;2;1622
16;1;1;1614
16;1;1;1612
24;1;1;2412
20;2;2;2023
17;;1;1712
16;;1;1613
24;3;3;2433
18;2;2;1823
24;1;1;2413
17;1;1;1711
20;1;1;2013
20;1;1;2012
31;0;0;3100
20;1;1;2011
16;2;2;1623
20;;3;2032
12;1;1;1213
20;3;3;2031
14;2;2;1423
12;1;1;1212
12;1;1;1211
11;2;2;1121
11;1;1;1112
15;2;2;1524
11;1;1;1111
15;3;3;1531
15;1;1;1511
18;;3;1833
18;3;3;1832
18;3;3;1831
18;3;3;1834
12;2;2;1223
12;1;1;1214
12;2;2;1222
12;1;1;1215
1;;2;122
12;2;2;1221
15;3;3;1532
11;2;2;1122
11;;1;1114
15;2;2;1523
15;1;1;1512
11;2;2;1123
1;1;1;114
1;1;1;111
3;3;3;333
11;1;1;1113
1;2;2;121
12;2;2;1224
1;1;1;112
1;3;3;131
12;3;3;1232
9;1;1;911
15;;2;1522
2;1;1;215
15;;1;1513
11;1;1;1115
2;1;1;212
2;1;1;213
8;2;2;821
2;1;1;214
8;1;1;815
9;2;2;925
2;2;2;224
9;2;2;924
10;1;1;1012
9;2;2;921
2;2;2;225
8;1;1;814
2;2;2;222
2;2;2;221
9;2;2;922
2;2;2;223
9;3;3;935
9;3;3;933
9;3;3;931
9;;2;923
12;3;3;1234
2;3;3;234
11;2;2;1124
2;3;3;233
2;3;3;231
1;1;1;113
9;3;3;934
9;3;3;932
8;2;2;822
10;2;2;1024
8;1;1;811
2;3;3;235
25;1;1;2515
18;1;1;1814
7;1;1;711
12;3;3;1231
15;3;3;1533
11;2;2;1125
12;2;2;1225
11;3;3;1134
11;3;3;1133
11;3;3;1132
11;3;3;1131
1;2;2;123
25;3;3;2532
11;3;3;1135
1;2;2;124
1;3;3;132
18;1;1;1812
12;;3;1233
10;2;2;1023
10;2;2;1022
10;2;2;1021
25;3;3;2531
10;1;1;1011
10;1;1;1014
9;1;1;914
12;3;3;1235
10;3;3;1034
10;3;3;1033
10;1;1;1013
9;1;1;913
1;3;3;133
7;;1;714
9;1;1;912
10;3;3;1032
10;3;3;1031
14;1;1;1412
2;1;1;211
9;1;1;915
14;2;2;1421
19;3;3;1931
19;3;3;1932
14;1;1;1411
25;2;2;2523
25;2;2;2521
25;1;1;2514
19;3;3;1935
25;1;1;2511
14;3;3;1432
25;2;2;2524
14;1;1;1414
25;1;1;2512
14;3;3;1431
14;1;1;1413
18;1;1;1811
25;2;2;2525
25;2;2;2522
18;1;1;1813
14;2;2;1422
14;3;3;1433
14;3;3;1434
25;3;3;2535
25;3;3;2534
25;3;3;2533
25;1;1;2513
18;2;2;1824
18;2;2;1821
18;2;2;1822
14;2;2;1424
7;2;2;722
7;2;2;723
7;2;2;724
7;2;2;725
7;2;2;726
3;2;2;321
8;3;3;832
8;3;3;831
8;3;3;833
7;3;3;731
3;2;2;322
3;3;3;332
3;3;3;334
7;3;3;732
7;3;3;733
7;3;3;734
3;2;2;324
5;2;2;523
5;3;3;532
5;2;2;524
5;3;3;533
4;1;1;414
3;2;2;323
4;1;1;411
4;2;2;421
8;3;3;835
6;2;2;624
6;2;2;623
6;2;2;621
6;1;1;612
6;1;1;611
8;3;3;834
6;1;1;613
4;2;2;422
6;3;3;631
6;2;2;622
6;1;1;614
4;2;2;423
4;;2;424
4;1;1;412
6;3;3;632
6;;3;634
22;2;2;2223
22;;2;2222
22;;2;2221
4;1;1;413
4;3;3;432
6;3;3;633
4;3;3;431
5;1;1;511
3;1;1;311
22;1;1;2213
22;;3;2232
22;1;1;2211
4;3;3;434
5;1;1;512
22;1;1;2212
22;3;3;2233
4;3;3;433
5;;1;513
7;1;1;712
3;;3;331
22;3;3;2234
31;0;0;3100
5;3;3;531
7;1;1;713
5;2;2;522
2;3;3;232
8;2;2;824
7;1;1;715
8;1;1;813
8;;1;812
3;1;1;314
8;2;2;825
3;;1;313
8;2;2;823
3;1;1;312
7;3;3;735
19;1;1;1912
17;2;2;1723
19;1;1;1911
17;2;2;1722
19;2;2;1923
17;2;2;1724
